*****   .tiff Pages Counter   *****

---> Enter an absolute path to the .tiffs directory or d for default: 

At the folder: /home/miguelf/Dropbox/Scans-BOL/BOL_Review
678997_BOL.tif has 2 pages
655693_BOL.tif has 2 pages
719232_BOL.tif has 6 pages
708905_BOL.tif has 2 pages
726117_BOL.tif has 4 pages
719024_BOL.tif has 4 pages
600170_BOL.tif has 2 pages
740661_BOL.tif has 2 pages
600166_BOL.tif has 2 pages
646442_BOL.tif has 2 pages
745398_BOL.tif has 2 pages
657084_BOL.tif has 2 pages
737156_BOL.tif has 2 pages
719248_BOL.tif has 6 pages
747108_BOL.tif has 2 pages
619848_BOL.tif has 3 pages
651604_BOL.tif has 2 pages
725442_BOL.tif has 4 pages
745447_BOL.tif has 4 pages
679018_BOL.tif has 2 pages
719034_BOL.tif has 3 pages
630628_BOL.tif has 2 pages
675847_BOL.tif has 2 pages
669472_BOL.tif has 2 pages
739186_BOL.tif has 3 pages
583758_BOL.tif has 1 pages
708689_BOL.tif has 4 pages
726709_BOL.tif has 2 pages
722108_BOL.tif has 2 pages
726859_BOL.tif has 2 pages
740204_BOL.tif has 2 pages
719027_BOL.tif has 6 pages
718049_BOL.tif has 8 pages
726250_BOL.tif has 2 pages
678988_BOL.tif has 2 pages
726636_BOL.tif has 2 pages
630597_BOL.tif has 2 pages
745380_BOL.tif has 2 pages
742521_BOL.tif has 2 pages
708457_BOL.tif has 2 pages
741151_BOL.tif has 2 pages
600163_BOL.tif has 3 pages
718651_BOL.tif has 2 pages
726619_BOL.tif has 2 pages
675407_BOL_2.tif has 5 pages
708485_BOL.tif has 2 pages
664522_BOL.tif has 4 pages
709110_BOL.tif has 1 pages
665482_BOL.tif has 2 pages
738738_BOL.tif has 2 pages
709065_BOL.tif has 1 pages
740256_BOL.tif has 2 pages
700636_BOL.tif has 2 pages
565669_BOL.tif has 1 pages
708920_BOL.tif has 4 pages
745833_BOL.tif has 2 pages
693455_BOL.tif has 3 pages
738760_BOL.tif has 2 pages
726346_BOL.tif has 1 pages
725716_BOL.tif has 1 pages
726108_BOL.tif has 5 pages
718835_BOL.tif has 2 pages
541504_BOL.tif has 2 pages
747076_BOL.tif has 2 pages
679380_BOL.tif has 2 pages
658665_BOL.tif has 2 pages
665493_BOL.tif has 2 pages
740255_BOL.tif has 2 pages
619814_BOL.tif has 3 pages
665522_BOL.tif has 2 pages
725829_BOL.tif has 2 pages
659079_BOL.tif has 2 pages
738248_BOL.tif has 3 pages
718637_BOL.tif has 7 pages
747015_BOL.tif has 2 pages
725902_BOL.tif has 2 pages
708683_BOL.tif has 5 pages
657052_BOL.tif has 2 pages
739235_BOL.tif has 2 pages
725218_BOL.tif has 2 pages
743062_BOL.tif has 2 pages
693817_BOL.tif has 2 pages
725710_BOL.tif has 1 pages
739902_BOL.tif has 2 pages
739911_BOL.tif has 2 pages
699715_BOL.tif has 2 pages
693460_BOL.tif has 2 pages
630586_BOL.tif has 2 pages
747059_BOL.tif has 2 pages
669471_BOL.tif has 2 pages
745510_BOL.tif has 2 pages
630594_BOL.tif has 2 pages
M01337_BOL.tif has 1 pages
725846_BOL.tif has 2 pages
718521_BOL.tif has 3 pages
665456_BOL.tif has 2 pages
M01620_BOL.tif has 1 pages
709127_BOL.tif has 3 pages
718693_BOL.tif has 6 pages
679982_BOL.tif has 2 pages
732865_BOL.tif has 2 pages
739909_BOL.tif has 2 pages
709968_BOL.tif has 1 pages
745747_BOL.tif has 1 pages
740138_BOL.tif has 3 pages
666136_BOL.tif has 2 pages
708684_BOL.tif has 3 pages
746976_BOL.tif has 2 pages
619823_BOL.tif has 1 pages
719028_BOL.tif has 4 pages
622232_BOL.tif has 2 pages
740678_BOL.tif has 2 pages
732503_BOL.tif has 2 pages
665145_BOL.tif has 2 pages
700652_BOL.tif has 6 pages
718795_BOL.tif has 2 pages
647349_BOL.tif has 2 pages
658266_BOL.tif has 2 pages
745855_BOL.tif has 2 pages
718473_BOL.tif has 1 pages
750275_BOL.tif has 2 pages
719193_BOL.tif has 3 pages
588451_BOL.tif has 4 pages
745765_BOL.tif has 2 pages
718847_BOL.tif has 2 pages
719007_BOL.tif has 11 pages
648996_BOL.tif has 1 pages
708536_BOL.tif has 2 pages
739302_BOL.tif has 1 pages
600175_BOL.tif has 2 pages
645096_BOL.tif has 2 pages
747542_BOL.tif has 3 pages
718708_BOL.tif has 1 pages
731730_BOL.tif has 2 pages
678783_BOL.tif has 2 pages
739932_BOL.tif has 2 pages
642570_BOL.tif has 1 pages
588443_BOL.tif has 4 pages
726880_BOL.tif has 2 pages
747040_BOL.tif has 2 pages
Y6070_BOL.tif has 6 pages
635666_BOL_2.tif has 2 pages
679378_BOL.tif has 2 pages
740330_BOL.tif has 2 pages
740168_BOL.tif has 4 pages
665286_BOL.tif has 2 pages
658263_BOL.tif has 2 pages
735656_BOL.tif has 6 pages
747071_BOL.tif has 2 pages
721606_BOL.tif has 2 pages
700462_BOL.tif has 2 pages
556444_BOL.tif has 1 pages
739326_BOL.tif has 1 pages
665237_BOL.tif has 2 pages
658677_BOL.tif has 9 pages
645082_BOL.tif has 2 pages
M01627_BOL.tif has 1 pages
675845_BOL.tif has 2 pages
642564_BOL.tif has 1 pages
725945_BOL.tif has 2 pages
725905_BOL.tif has 2 pages
678687_BOL.tif has 2 pages
740053_BOL.tif has 2 pages
666965_BOL.tif has 2 pages
745626_BOL.tif has 2 pages
718668_BOL.tif has 5 pages
583780_BOL.tif has 1 pages
657050_BOL.tif has 2 pages
679042_BOL.tif has 2 pages
647565_BOL.tif has 2 pages
694831_BOL.tif has 8 pages
718149_BOL.tif has 2 pages
745832_BOL.tif has 2 pages
658694_BOL.tif has 9 pages
738703_BOL.tif has 2 pages
725840_BOL.tif has 2 pages
622212_BOL.tif has 1 pages
718848_BOL.tif has 2 pages
708698_BOL.tif has 2 pages
745511_BOL.tif has 2 pages
718520_BOL.tif has 1 pages
694846_BOL.tif has 8 pages
746965_BOL.tif has 2 pages
721651_BOL.tif has 2 pages
588433_BOL.tif has 3 pages
745851_BOL.tif has 2 pages
709090_BOL.tif has 2 pages
647551_BOL.tif has 2 pages
737189_BOL.tif has 2 pages
718544_BOL.tif has 1 pages
718123_BOL.tif has 2 pages
718472_BOL.tif has 1 pages
679577_BOL.tif has 8 pages
739237_BOL.tif has 1 pages
718630_BOL.tif has 1 pages
725238_BOL.tif has 2 pages
722102_BOL.tif has 1 pages
745444_BOL.tif has 2 pages
747060_BOL.tif has 2 pages
679947_BOL.tif has 2 pages
665233_BOL.tif has 2 pages
